File,Line,Sentiment,SentimentScore
joebidencomprehend.csv,190,NEUTRAL,"{'Mixed': 0.0018484386382624507, 'Negative': 0.2761644124984741, 'Neutral': 0.7032213807106018, 'Positive': 0.018765807151794434}"
joebidencomprehend.csv,163,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,164,NEUTRAL,"{'Mixed': 2.5390370865352452e-05, 'Negative': 0.0028455196879804134, 'Neutral': 0.9960538148880005, 'Positive': 0.0010752292582765222}"
joebidencomprehend.csv,165,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,166,NEUTRAL,"{'Mixed': 0.0006587945390492678, 'Negative': 0.003998204134404659, 'Neutral': 0.9935593605041504, 'Positive': 0.0017836069455370307}"
joebidencomprehend.csv,167,NEUTRAL,"{'Mixed': 0.0006438660202547908, 'Negative': 0.001588928629644215, 'Neutral': 0.995695948600769, 'Positive': 0.0020713498815894127}"
joebidencomprehend.csv,168,NEGATIVE,"{'Mixed': 0.014145301654934883, 'Negative': 0.5135886073112488, 'Neutral': 0.46433109045028687, 'Positive': 0.007934930734336376}"
joebidencomprehend.csv,171,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,172,NEUTRAL,"{'Mixed': 0.0017255812417715788, 'Negative': 0.08249533176422119, 'Neutral': 0.9019370675086975, 'Positive': 0.013842090964317322}"
joebidencomprehend.csv,173,NEUTRAL,"{'Mixed': 1.999110827455297e-05, 'Negative': 0.00045116955880075693, 'Neutral': 0.9973892569541931, 'Positive': 0.002139678690582514}"
joebidencomprehend.csv,174,NEUTRAL,"{'Mixed': 0.001122105517424643, 'Negative': 0.0015139167662709951, 'Neutral': 0.967805027961731, 'Positive': 0.029558898881077766}"
joebidencomprehend.csv,175,NEUTRAL,"{'Mixed': 7.461069344572024e-06, 'Negative': 0.0004658961552195251, 'Neutral': 0.9971688389778137, 'Positive': 0.00235773460008204}"
joebidencomprehend.csv,176,NEUTRAL,"{'Mixed': 0.002974658040329814, 'Negative': 0.07854318618774414, 'Neutral': 0.9166744351387024, 'Positive': 0.0018077056156471372}"
joebidencomprehend.csv,177,NEUTRAL,"{'Mixed': 0.0006931714597158134, 'Negative': 0.009461961686611176, 'Neutral': 0.9877529144287109, 'Positive': 0.002091982401907444}"
joebidencomprehend.csv,182,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,183,NEUTRAL,"{'Mixed': 0.0056757437996566296, 'Negative': 0.1069275438785553, 'Neutral': 0.8841328024864197, 'Positive': 0.0032638749107718468}"
joebidencomprehend.csv,184,NEUTRAL,"{'Mixed': 0.01639394462108612, 'Negative': 0.03632953390479088, 'Neutral': 0.9238174557685852, 'Positive': 0.023459142073988914}"
joebidencomprehend.csv,185,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,186,NEUTRAL,"{'Mixed': 0.0015843407018110156, 'Negative': 0.0017455460038036108, 'Neutral': 0.9930226802825928, 'Positive': 0.0036473299842327833}"
joebidencomprehend.csv,187,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,188,NEUTRAL,"{'Mixed': 0.021874139085412025, 'Negative': 0.11105651408433914, 'Neutral': 0.7366943955421448, 'Positive': 0.13037487864494324}"
joebidencomprehend.csv,192,NEUTRAL,"{'Mixed': 0.07016141712665558, 'Negative': 0.2601381242275238, 'Neutral': 0.6600854396820068, 'Positive': 0.009615008719265461}"
joebidencomprehend.csv,193,NEUTRAL,"{'Mixed': 0.00025453188573010266, 'Negative': 0.00030669744592159986, 'Neutral': 0.9975124597549438, 'Positive': 0.0019263363210484385}"
joebidencomprehend.csv,194,NEUTRAL,"{'Mixed': 0.0006068944348953664, 'Negative': 0.0028268604073673487, 'Neutral': 0.9921141862869263, 'Positive': 0.004452120047062635}"
